FID,Latitude,Longitude
185,33.16748905,-7.94039558
186,33.16920318,-7.93916437
187,33.17109691,-7.93780251
188,33.17311421,-7.93635506
189,33.17650803,-7.93391153
190,33.18248896,-7.92962200
191,33.18280512,-7.92939444
192,33.18359684,-7.92633079
193,33.18482814,-7.92110447
194,33.18676804,-7.91491715
195,33.18873850,-7.90817239
196,33.18977166,-7.90396545
197,33.19168853,-7.89705199
198,33.19420779,-7.88528171
199,33.19543068,-7.87668536
200,33.19583172,-7.87301134
201,33.19791018,-7.86689136
202,33.20034871,-7.86231000
203,33.20174091,-7.85965824
204,33.20334007,-7.85589041
205,33.20581875,-7.84925817
206,33.20774004,-7.84493130
207,33.20988239,-7.83975368
208,33.21296821,-7.83450196
209,33.21841846,-7.82460993
210,33.22082302,-7.82037584
211,33.22493776,-7.81501859
212,33.22894795,-7.81104078
213,33.23216893,-7.80848507
214,33.24040816,-7.80341116
215,33.24651072,-7.79875894
216,33.24988453,-7.79481518
217,33.25472329,-7.78929395
218,33.25644554,-7.78717943
219,33.25956017,-7.78395865
220,33.26129377,-7.78200726
221,33.26587074,-7.77568102
222,33.26926074,-7.77241217
223,33.27483957,-7.76866716
224,33.27721990,-7.76719815
225,33.28035168,-7.76469886
226,33.28230539,-7.76262663
227,33.28266505,-7.76226692
228,33.28249145,-7.75757753
229,33.27809626,-7.60933641
230,33.27743970,-7.58689964
231,33.27382686,-7.58655739
